"golfing, village homestays, photography","Victoria Golf Club, Ella, Yala National Park, Sinharaja Forest Reserve, Nuwara Eliya Golf Club"
"arts and culture, landscape photography, golfing","Jaffna Public Library, Ella Gap, Nuwara Eliya Golf Club, Museum of Modern and Contemporary Art, Gangaramaya Temple"
"kayaking, water parks, boat safaris","Kalpitiya Lagoon, Colombo Port City, Water World Lanka, Ahungalla, Leisure World"
"photography, wildlife viewing, ayurvedic spa treatments","Sigiriya, Sinharaja Forest Reserve, Udawalawe National Park, Ella, Kanneliya National Rain Forest Reserve"
"museum visits, art classes, themed parks","Kandy National Museum, Maritime Museum, Galle, Viharamahadevi Park, National Museum Galle"
"sightseeing, scuba diving, animal encounters","Elephant Transit Home, Kanneliya National Rain Forest Reserve, Trincomalee, Negombo, Hikkaduwa Coral Sanctuary"
"amusement parks, tea tasting, historic sites","Nuwara Eliya, Anuradhapura, Perl Bay, Leisure World, Galle Dutch Fort"
"outdoor adventures, cycling, hot air ballooning","Hatton, Pigeon Island, Riverstone Gap, Hikkaduwa Coral Sanctuary, Kandalama"
"cycling, arts and culture, local crafts","Museum of Modern and Contemporary Art, Nelung Arts Centre, Kandy, Hatton, Jaffna Public Library"
"landscape photography, bird watching, ayurvedic spa treatments","Sinharaja Forest Reserve, Sigiriya, Anawilundawa Wetlands, Hikkaduwa, Bundala National Park"
"theater, safaris, archaeological sites","Minneriya National Park, Anuradhapura, Polonaruwa, Sigiriya, Wilpattu National Park"
"horseback riding, architecture photography, boat safaris","Galle Fort, Madu River, Sigiriya, Dambulla Royal Cave Temple and Golden Temple, Nuwara Eliya"
"fishing, turtle watching, bird watching","Hikkaduwa, Rekawa Beach, Sinharaja Forest Reserve, Kalpitiya, Kumana National Park"
"temple pilgrimages, beachfront dining, wildlife viewing","Minneriya National Park, Galle, Udawalawe National Park, Mihintale, Sri Pada / Adams Peak"
"turtle watching, snorkeling, cycling","Mirissa Beach, Nilaveli Beach, Hikkaduwa, Hikkaduwa Beach, Unawatuna Beach"
"kayaking, bird watching, beach visits","Sinharaja Forest Reserve, Ahungalla, Madu River, Unawatuna Lagoon, Kitulgala"
"architecture tours, camping, tea tasting","Belihuloya, Meemure, Nuwara Eliya, Vaddha Village Camping, Sigiriya"
"sightseeing, yoga retreats, landscape photography","Pidurangala Rock, Sigiriya, Ella Gap, Galle Lighthouse, Ella"
"caving, craft workshops, kayaking","Unawatuna Lagoon, Kitulgala, Bentota River, Ritigala, Bentota"
"rock climbing, boat safaris, art classes","Bentota River, Galle, Yapahuwa Rock Fortress, Colombo, Surathali Ella"
"literary tours, hiking, animal encounters","Sri Pada / Adams Peak, Horton Plains National Park, Martin Wickramasinghe Folk Museum, Yala National Park, Pinnawala Elephant Orphanage"
"art classes, historical monuments, tea tasting","Anuradhapura, Colombo, Nuwara Eliya, Kandy, Galle"
"art classes, historic walks, traditional ceremonies","Galle, Anuradapura, Nallur Kandaswamy Kovil, Kandy Lake, Colombo"
"traditional ceremonies, hot air ballooning, art classes","Colombo, Sri Dalada Maligawa, Dambulla, Nallur Kandaswamy Kovil, Kandalama"
"zip-lining, golfing, spiritual retreats","Kithulgala, Ella, Seetha Eliya, Dambulla Royal Cave Temple and Golden Temple, Nuwara Eliya Golf Club"
"planetarium visits, wildlife viewing, landscape photography","Sigiriya, Ella Gap, Sri Lanka Planetarium, Wasgamuwa National Park, Yala National Park"
"public art installations, hot springs, cultural experiences","Mahapelessa Hot Springs, Anuradhapura, Colombo, Mihintale, Kanniya Hot Springs"
"theater, hiking, elephant rides","Horton Plains National Park, Nelung Arts Centre, Sri Pada / Adams Peak, Ella Rock, Lionel Wendt Art Centre"
"waterfalls, sailing, historic walks","Bakers Falls, Devon Falls, Diyaluma Falls,  Laxapana Falls, Dunhinda Waterfall"
"spiritual retreats, yoga retreats, planetarium visits","Seetha Eliya, Dambulla Royal Cave Temple and Golden Temple, Galle, Sri Dalada Maligawa, Hiriketiya"
"butterfly watching, cultural experiences, surfing","Dambulla Royal Cave Temple and Golden Temple, Weligama Beach (surf and stay), Knuckles, Sinharaja Forest Reserve, Arankelle Forest Monastery"
"bird watching, turtle watching, archaeological sites","Rekawa Beach, Hikkaduwa, Sinharaja Forest Reserve, Pigeon Island, Bundala National Park"
"water parks, museum visits, fishing","Leisure World, Pearl Bay, Negombo Lagoon, Folk Museum, Trincomalee"
"mountain biking, outdoor adventures, tea tasting","Pigeon Island, Hatton, Kandy, Kitulgala, Hikkaduwa Coral Sanctuary"
"butterfly watching, tea tasting, historic sites","Nuwara Eliya, Anuradhapura, Horton Plains National Park, Knuckles, Sinharaja Forest Reserve"
"horseback riding, arts and culture, art classes","Dambulla, Nelung Arts Centre, Nuwara Eliya, Colombo, Haputale"
"cultural experiences, golfing, village homestays","Kandy Temple, Dambulla Royal Cave Temple and Golden Temple, Anuradhapura, Nuwara Eliya Golf Club, Royal Colombo Golf Club"
"paddleboarding, historical monuments, beachfront dining","Unawatuna Beach, Trincomalee, Anuradhapura, Polonnaruwa, Negambo"
"amusement parks, historic walks, caving","Ritigala, Galle Fort, Wavulpone Cave, Polonaruwa, Anuradapura"
"museum visits, public art installations, horseback riding","Colombo, National Museum Galle, Kandy, Kandy National Museum, Folk Museum"
"sea cruises, photography, outdoor adventures","Mirissa Beach, Colombo Port City, Negombo Lagoon, Sinharaja Forest Reserve, Sigiriya"
"amusement parks, art classes, yoga retreats","Colombo, Excel World, Perl Bay, Colombo Port City, Hiriketiya"
"public art installations, history tours, museum visits","Kandy, Maritime Museum, Dutch Museum, Colombo, Polonnaruwa Ancient City"
"cultural experiences, history tours, horseback riding","Galle Dutch Fort, Polonnaruwa Ancient City, Anuradhapura, Arankelle Forest Monastery, Nuwara Eliya"
"outdoor adventures, river cruises, ayurvedic spa treatments","Pigeon Island, Riverstone Gap, Kitulgala, Bentota River, Hikkaduwa Coral Sanctuary"
"archaeological sites, craft workshops, cycling","Ella, Hatton, Bentota, Sigiriya, Batadombalena Craft Centre"
"sailing, boat safaris, hot air ballooning","Colombo Port City, Negombo Lagoon, Kandalama, Madu River, Trincomalee Harbour"
"ayurvedic spa treatments, scuba diving, bird watching","Anawilundawa Wetlands, Horton Plains National Park, Hikkaduwa, Bundala National Park, Trincomalee"
"spiritual retreats, literary tours, sea cruises","Mirissa Beach, Dambulla Royal Cave Temple and Golden Temple, Trincomalee Harbour, Jaffna Public Library, Trincomalee"
"wildlife viewing, caving, zip-lining","Kanneliya National Rain Forest Reserve, Udawalawe National Park, Ella, Belilena Caves, Minneriya National Park"
"hot springs, planetarium visits, arts and culture","Sri Lanka Planetarium, Jaffna Public Library, Maha Oya Hot Water Springs, Madunagala Hot Water Spring, Museum of Modern and Contemporary Art"
"cultural experiences, archaeological sites, bird watching","Sigiriya, Sinharaja Forest Reserve, Kumana National Park, Arankelle Forest Monastery, Sri Dalada Maligawa"
"landscape photography, photography, ayurvedic spa treatments","Sinharaja Forest Reserve, Horton Plains, Ella, Hikkaduwa, Ella Gap"
"boat safaris, yoga retreats, public art installations","Galle, Kandy, Bentota River, Colombo, Madu River"
"sailing lessons, zip-lining, whale watching","Trincomalee, Hikkaduwa, Mirissa Beach, Kithulgala, Ella"
"architecture photography, outdoor adventures, sailing","Negombo Lagoon, Pigeon Island, Sigiriya, Colombo Port City, Hikkaduwa Coral Sanctuary"
"village homestays, paddleboarding, safaris","Unawatuna Beach, Yala National Park, Kumana National Park, Haputale, Bentota River"
"golfing, tea tasting, arts and culture","Victoria Golf Club, Nuwara Eliya, Gangaramaya Temple, Museum of Modern and Contemporary Art, National Gallery of Art"
"planetarium visits, sightseeing, rock climbing","Sri Lanka Planetarium, Galle Lighthouse, Ella, Yapahuwa Rock Fortress, Surathali Ella"
"ayurvedic spa treatments, paddleboarding, sailing","Negombo Lagoon, Trincomalee Harbour, Bentota, Hikkaduwa, Colombo Port City"
"sailing lessons, elephant rides, whale watching","Trincomalee, Pinnawala, Udawalawe, Negombo, Hikkaduwa"
"waterfalls, horseback riding, themed parks","Dunhinda Waterfall, Diyaluma Falls, Viharamahadevi Park, Ravan Ella Waterfall,  Laxapana Falls"
"horseback riding, architecture tours, art classes","Haputale, Colombo, Nuwara Eliya, Sigiriya, Galle"
"safaris, historic walks, beach visits","Tangalle Beach, Bentota Beach, Kumana National Park, Uppuveli Beach, Nilaveli Beach"
"cultural experiences, horseback riding, butterfly watching","Dambulla Royal Cave Temple and Golden Temple, Horton Plains National Park, Haputale, Arankelle Forest Monastery, Knuckles"
"golfing, temple pilgrimages, sightseeing","Jaya Sri Maha Bodhi, Nuwara Eliya Golf Club, Victoria Golf Club, Sri Pada / Adams Peak, Mihintale"
"bird watching, mountain biking, camping","Knuckles, Bundala National Park, Sinharaja Forest Reserve, Kumana National Park, Belihuloya"
"boat safaris, tea tasting, planetarium visits","Sri Lanka Planetarium, Madu River, Nuwara Eliya, Bentota River, Kandy"
"historic walks, themed parks, beach visits","Tangalle Beach, Polonaruwa, Passikuda Beach, Koggala Beach, Bentota Beach"
"archaeological sites, ayurvedic spa treatments, historic walks","Hikkaduwa, Polonaruwa, Anuradapura, Anuradhapura, Kandy Lake"
"craft workshops, architecture tours, river cruises","Madu River, Sigiriya, Bentota, Ambalangoda Mask Workshop, Bentota River"
"horse shows, fishing, boat safaris","Weligama Beach, Kalpitiya, Trincomalee, Hikkaduwa, Negombo Lagoon"
"hot air ballooning, camping, art classes","Vaddha Village Camping, Belihuloya, Kitugala Forest, Kandalama, Horton Plains"
"landscape photography, botanical gardens, animal encounters","Hakgala Botanical Garden, Udawalawe National Park, Pinnawala Elephant Orphanage, Kanneliya National Rain Forest Reserve, Ella Gap"
"elephant rides, literary tours, themed parks","Martin Wickramasinghe Folk Museum, Jungle Beach, Udawalawe, Pinnawala, Jaffna Public Library"
"temple pilgrimages, historical monuments, spiritual retreats","Sri Pada / Adams Peak, Jaya Sri Maha Bodhi, Ruhunu Maha Kataragama Dewalaya, Polonnaruwa, Mihintale"
"cultural experiences, hot air ballooning, craft workshops","Dambulla Royal Cave Temple and Golden Temple, Kandalama, Kandy Temple, Ambalangoda Mask Workshop, Bentota"
"sightseeing, sailing lessons, ayurvedic spa treatments","Ella, Pidurangala Rock, Horton Plains, Hikkaduwa, Galle Lighthouse"
"hiking, traditional ceremonies, sea cruises","Nallur Kandaswamy Kovil, Sri Dalada Maligawa, Ella Rock, Horton Plains National Park, Trincomalee Harbour"
"caving, botanical gardens, animal encounters","Batatotalena (Batadombalena) Cave, Dry Zone Botanic Gardens, Hambantota, Kanneliya National Rain Forest Reserve, Yala National Park, Belilena Caves"
"amusement parks, sailing, hot springs","Trincomalee Harbour, Maha Oya Hot Water Springs, Perl Bay, Madunagala Hot Water Spring, Excel World"
"sailing, horseback riding, art classes","Haputale, Trincomalee Harbour, Nuwara Eliya, Colombo, Negombo Lagoon"
"historical monuments, animal encounters, zip-lining","Polonnaruwa, Yala National Park, Ella, Kithulgala, Anuradhapura"
"ayurvedic spa treatments, yoga retreats, horse shows","Hikkaduwa, Hiriketiya, Kandy, Nuwara Eliya, Galle"
"bird watching, local crafts, golfing","Anawilundawa Wetlands, Victoria Golf Club, Sinharaja Forest Reserve, Royal Colombo Golf Club, Kandy"
"sightseeing, hiking, hot springs","Ella Rock, Horton Plains, Horton Plains National Park, Maha Oya Hot Water Springs, Galle Lighthouse"
"arts and culture, traditional ceremonies, botanical gardens","Sri Dalada Maligawa, Hakgala Botanical Garden, Nallur Kandaswamy Kovil, Museum of Modern and Contemporary Art, Jaffna Public Library"
"themed parks, turtle watching, paddleboarding","Unawatuna Beach, Rekawa Beach, Hikkaduwa, Pigeon Island, Viharamahadevi Park"
"sightseeing, outdoor adventures, literary tours","Martin Wickramasinghe Folk Museum, Pidurangala Rock, Galle Lighthouse, Pigeon Island, Hikkaduwa Coral Sanctuary"
"historic walks, hot air ballooning, traditional ceremonies","Kandalama, Polonaruwa, Dambulla, Nallur Kandaswamy Kovil, Galle Fort"
"fishing, butterfly watching, cultural experiences","Kanneliya National Rain Forest Reserve, Mihintale, Hikkaduwa, Anuradhapura, Negombo Lagoon"
"sea cruises, local crafts, kayaking","Madu River, Colombo Port City, Ahungalla, Kitulgala, Trincomalee Harbour"
"public art installations, caving, museum visits","Mahalenama Cave, Dutch Museum, Ratnapura Gem Museum, Colombo National Museum, Maritime Museum"
"paddleboarding, animal encounters, snorkeling","Hikkaduwa Beach, Negambo, Nilaveli Beach, Kanneliya National Rain Forest Reserve, Bentota River"
"sailing lessons, yoga retreats, planetarium visits","Sri Lanka Planetarium, Trincomalee, Negombo, Galle, Hiriketiya"
"fishing, sightseeing, tea tasting","Hikkaduwa, Nuwara Eliya, Weligama Beach, Kandy, Negombo Lagoon"
"historical monuments, sightseeing, traditional ceremonies","Sri Dalada Maligawa, Pidurangala Rock, Anuradhapura, Horton Plains, Nallur Kandaswamy Kovil"
"hot air ballooning, botanical gardens, elephant rides","Dambulla, Udawalawe, Seethawaka Wet Zone Botanical Gardens, Royal Botanical Gardens, Peradeniya, Dry Zone Botanic Gardens, Hambantota"
"photography, snorkeling, archaeological sites","Nine Arches Bridge, Hikkaduwa Beach, Polonaruwa, Ella, Unawatuna Beach"
"waterfalls, butterfly watching, paddleboarding","Bomburu Ella Waterfall, Bopath Falls, Knuckles, Horton Plains National Park, Bentota River"
"museum visits, fishing, archaeological sites","Folk Museum, Hikkaduwa, Polonaruwa, Kalpitiya, Negombo Lagoon"
"literary tours, theater, architecture tours","Sigiriya, Galle Dutch Fort, Lionel Wendt Art Centre, Nelum Pokuna Theatre, Jaffna Public Library"
"boat safaris, hot springs, city tours","Kanniya Hot Springs, Madunagala Hot Water Spring, Colombo City Tour, Maha Oya Hot Water Springs, Galle City Tour"
"literary tours, river cruises, amusement parks","Perl Bay, Martin Wickramasinghe Folk Museum, Madu River, Excel World, Bentota River"
"theater, safaris, cycling","Ella, Minneriya National Park, Nelum Pokuna Theatre, Lionel Wendt Art Centre, Nelung Arts Centre"
"craft workshops, beachfront dining, whale watching","Galle, Hikkaduwa, Unawatuna, Mirissa Beach, Bentota"
"butterfly watching, sightseeing, snorkeling","Ella, Hikkaduwa Beach, Sinharaja Forest Reserve, Horton Plains, Galle Lighthouse"
"water parks, spiritual retreats, safaris","Kumana National Park, Water World Lanka, Yala National Park, Seetha Eliya, Ruhunu Maha Kataragama Dewalaya"
"bird watching, scuba diving, ayurvedic spa treatments","Kalpitiya, Kumana National Park, Bentota, Horton Plains National Park, Sinharaja Forest Reserve"
"arts and culture, horseback riding, historic sites","Nuwara Eliya, Sigiriya, Anuradhapura, Galle Dutch Fort, Jaffna Public Library"
"village homestays, scuba diving, animal encounters","Haputale, Kanneliya National Rain Forest Reserve, Kalpitiya, Hikkaduwa Coral Sanctuary, Pigeon Island"
"river cruises, tea tasting, planetarium visits","Sri Lanka Planetarium, Kandy, Bentota River, Madu River, Nuwara Eliya"
"amusement parks, local crafts, boat safaris","Madu River, Bentota River, Excel World, Kandy, Colombo Port City"
"turtle watching, tea tasting, ayurvedic spa treatments","Bentota, Nuwara Eliya, Rekawa Beach, Kandy, Hikkaduwa"
"turtle watching, bird watching, safaris","Anawilundawa Wetlands, Kumana National Park, Pigeon Island, Hikkaduwa, Kosgoda Turtle Hatchery"
"bird watching, horse shows, golfing","Horton Plains National Park, Anawilundawa Wetlands, Bundala National Park, Kumana National Park, Victoria Golf Club"
"public art installations, sailing lessons, river cruises","Negombo, Bentota River, Madu River, Trincomalee, Kandy"
"river cruises, historical monuments, surfing","Hikkaduwa Beach, Ahangama, Anuradhapura, Mirissa Beach, Arugam Bay Beach"
"village homestays, public art installations, cultural experiences","Ella, Mihintale, Colombo, Arankelle Forest Monastery, Haputale"
"waterfalls, snorkeling, scuba diving"," Laxapana Falls, Bopath Falls, Kalpitiya, Negombo, Devon Falls"
"elephant rides, kayaking, turtle watching","Hikkaduwa, Rekawa Beach, Bentota River, Colombo Port City, Madu River"
"mountain biking, themed parks, tea tasting","Knuckles, Nuwara Eliya, Jungle Beach, Hatton, Kandy"
"mountain biking, beach visits, ayurvedic spa treatments","Bentota, Tangalle Beach, Marakolliya Beach, Mirissa Beach, Koggala Beach"
"mountain biking, sightseeing, amusement parks","Knuckles, Perl Bay, Horton Plains, Hatton, Ella"
"animal encounters, hiking, amusement parks","Elephant Transit Home, Excel World, Pinnawala Elephant Orphanage, Perl Bay, Colombo Port City"
"architecture tours, kayaking, public art installations","Kitulgala, Madu River, Bolgoda Lake, Ahungalla, Unawatuna Lagoon"
"snorkeling, history tours, spiritual retreats","Unawatuna Beach, Galle Dutch Fort, Sri Pada / Adams Peak, Seetha Eliya, Pigeon Island"
"history tours, bird watching, cultural experiences","Kumana National Park, Mihintale, Dambulla Royal Cave Temple and Golden Temple, Polonnaruwa Ancient City, Sinharaja Forest Reserve"
"temple pilgrimages, ayurvedic spa treatments, horse shows","Jaya Sri Maha Bodhi, Hikkaduwa, Nuwara Eliya, Bentota, Kandy"
"boat safaris, river cruises, architecture photography","Bentota River, Galle Fort, Sigiriya, Dambulla Royal Cave Temple and Golden Temple, Ambuluwawa Tower"
"local crafts, cycling, landscape photography","Horton Plains, Ella, Hatton, Ambalangoda, Ella Gap"
"local crafts, temple pilgrimages, literary tours","Kandy, Jaffna Public Library, Sri Pada / Adams Peak, Jaya Sri Maha Bodhi, Dambulla Royal Cave Temple and Golden Temple"
"rock climbing, temple pilgrimages, local crafts","Sri Pada / Adams Peak, Ambalangoda, Yapahuwa Rock Fortress, Surathali Ella, Ella Rock"
"cultural experiences, whale watching, village homestays","Kandy Temple, Ella, Arankelle Forest Monastery, Anuradhapura, Hikkaduwa"
"horseback riding, turtle watching, amusement parks","Excel World, Haputale, Nuwara Eliya, Hikkaduwa, Perl Bay"
"water parks, horseback riding, photography","Ella, Nuwara Eliya, Yala National Park, Dambulla, Sinharaja Forest Reserve"
"boat safaris, scuba diving, wildlife viewing","Wilpattu National Park, Kalpitiya, Madu River, Kanneliya National Rain Forest Reserve, Wasgamuwa National Park"
"spiritual retreats, butterfly watching, tea tasting","Seetha Eliya, Ruhunu Maha Kataragama Dewalaya, Knuckles, Kanneliya National Rain Forest Reserve, Sinharaja Forest Reserve"
"cultural festivals, turtle watching, literary tours","Pigeon Island, Kosgoda Turtle Hatchery, Rekawa Beach, Martin Wickramasinghe Folk Museum, Nallur Kandaswamy Devasthanam"
"craft workshops, cultural experiences, wildlife viewing","Arankelle Forest Monastery, Wilpattu National Park, Bentota, Minneriya National Park, Sri Dalada Maligawa"
"whale watching, fishing, scuba diving","Trincomalee, Weligama Beach, Hikkaduwa, Kalpitiya, Mirissa Beach"
"scuba diving, sea cruises, camping","Vaddha Village Camping, Mirissa Beach, Pigeon Island, Negombo, Knuckles"
"river cruises, kayaking, surfing","Arugam Bay Beach, Tangalle, Colombo Port City, Ahungalla, Ahangama"
"cultural experiences, river cruises, city tours","Anuradhapura, Dambulla Royal Cave Temple and Golden Temple, Sri Dalada Maligawa, Madu River, Kandy City Centre"
"golfing, camping, amusement parks","Victoria Golf Club, Nuwara Eliya Golf Club, Belihuloya, Meemure, Knuckles"
"craft workshops, camping, archaeological sites","Knuckles, Sigiriya, Batadombalena Craft Centre, Belihuloya, Meemure"
"fishing, golfing, ayurvedic spa treatments","Kalpitiya, Hikkaduwa, Victoria Golf Club, Bentota, Trincomalee"
"zip-lining, butterfly watching, temple pilgrimages","Sinharaja Forest Reserve, Mihintale, Dambulla Royal Cave Temple and Golden Temple, Ella, Horton Plains National Park"
"yoga retreats, traditional ceremonies, sailing","Hiriketiya, Sri Dalada Maligawa, Negombo Lagoon, Colombo Port City, Galle"
"horseback riding, caving, literary tours","Belilena Caves, Nuwara Eliya, Martin Wickramasinghe Folk Museum, Wavulpone Cave, Dambulla"
"architecture photography, arts and culture, spiritual retreats","Sri Dalada Maligawa, Galle Fort, Seetha Eliya, Ambuluwawa Tower, National Gallery of Art"
"museum visits, photography, village homestays","Kandy National Museum, Colombo National Museum, National Museum Galle, Folk Museum, Ella"
"hiking, sailing lessons, planetarium visits","Sri Pada / Adams Peak, Negombo, Horton Plains National Park, Sri Lanka Planetarium, Trincomalee"
"sightseeing, rock climbing, ayurvedic spa treatments","Surathali Ella, Hikkaduwa, Yapahuwa Rock Fortress, Pidurangala Rock, Galle Lighthouse"
"boat safaris, temple pilgrimages, turtle watching","Pigeon Island, Bentota River, Hikkaduwa, Rekawa Beach, Madu River"
"elephant rides, amusement parks, hiking","Perl Bay, Ella Rock, Excel World, Leisure World, Pinnawala"
"hiking, tea tasting, temple pilgrimages","Horton Plains National Park, Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple, Nuwara Eliya, Jaya Sri Maha Bodhi"
"zip-lining, hot springs, public art installations","Ella, Kanniya Hot Springs, Colombo, Maha Oya Hot Water Springs, Kandy"
"waterfalls, cycling, horse shows"," Laxapana Falls, Bakers Falls, Kandy, Bopath Falls, Bambarakanda Falls"
"river cruises, historic sites, camping","Galle Dutch Fort, Sigiriya, Vaddha Village Camping, Belihuloya, Meemure"
"paddleboarding, horseback riding, waterfalls","Diyaluma Falls, Bopath Falls, Trincomalee, Bomburu Ella Waterfall, Ramboda Falls"
"scuba diving, cultural experiences, yoga retreats","Kandy Temple, Trincomalee, Galle, Arankelle Forest Monastery, Dambulla Royal Cave Temple and Golden Temple"
"cultural festivals, waterfalls, hot air ballooning","Diyaluma Falls, Kandalama, Bambarakiri Ella, Ramboda Falls, St Clairs Falls"
"elephant rides, theater, photography","Sigiriya, Lionel Wendt Art Centre, Ella, Udawalawe, Nine Arches Bridge"
"local crafts, golfing, architecture tours","Royal Colombo Golf Club, Victoria Golf Club, Sigiriya, Kandy, Galle Dutch Fort"
"photography, zip-lining, fishing","Sigiriya, Negombo Lagoon, Yala National Park, Weligama Beach, Hikkaduwa"
"ayurvedic spa treatments, traditional ceremonies, horseback riding","Hikkaduwa, Haputale, Nuwara Eliya, Bentota, Nallur Kandaswamy Kovil"
"boat safaris, beachfront dining, historical monuments","Unawatuna, Bentota River, Galle, Mirissa Beach, Madu River"
"turtle watching, museum visits, bird watching","Dutch Museum, Folk Museum, Rekawa Beach, Horton Plains National Park, Bundala National Park"
"elephant rides, yoga retreats, waterfalls","Devon Falls, Bambarakanda Falls, Udawalawe,  Laxapana Falls, Dunhinda Waterfall"
"elephant rides, art classes, rock climbing","Colombo, Surathali Ella, Udawalawe, Knuckles, Pinnawala"
"turtle watching, spiritual retreats, sailing lessons","Seetha Eliya, Pigeon Island, Hikkaduwa, Trincomalee, Dambulla Royal Cave Temple and Golden Temple"
"elephant rides, city tours, snorkeling","Pinnawala, Colombo City Tour, Galle City Tour, Udawalawe, Hikkaduwa Beach"
"snorkeling, camping, mountain biking","Pigeon Island, Yala National Park, Meemure, Mirissa Beach, Knuckles"
"wildlife viewing, temple pilgrimages, themed parks","Kanneliya National Rain Forest Reserve, Udawalawe National Park, Wasgamuwa National Park, Dambulla Royal Cave Temple and Golden Temple, Jaya Sri Maha Bodhi"
"planetarium visits, spiritual retreats, sailing lessons","Seetha Eliya, Sri Dalada Maligawa, Dambulla Royal Cave Temple and Golden Temple, Negombo, Sri Pada / Adams Peak"
"hot springs, arts and culture, snorkeling","National Gallery of Art, Maha Oya Hot Water Springs, Pigeon Island, Museum of Modern and Contemporary Art, Gangaramaya Temple"
"temple pilgrimages, photography, sailing","Nine Arches Bridge, Mihintale, Dambulla Royal Cave Temple and Golden Temple, Sigiriya, Sri Pada / Adams Peak"
"arts and culture, sailing, architecture photography","Gangaramaya Temple, Museum of Modern and Contemporary Art, Velgam Vehera Buddhist Temple, National Gallery of Art, Negombo Lagoon"
"photography, sightseeing, sailing lessons","Horton Plains, Nine Arches Bridge, Negombo, Pidurangala Rock, Ella"
"historic walks, mountain biking, local crafts","Polonaruwa, Galle Fort, Hatton, Kandy Lake, Kandy"
"sailing lessons, literary tours, snorkeling","Martin Wickramasinghe Folk Museum, Negombo, Trincomalee, Unawatuna Beach, Mirissa Beach"
"wildlife viewing, animal encounters, traditional ceremonies","Wasgamuwa National Park, Kanneliya National Rain Forest Reserve, Wilpattu National Park, Elephant Transit Home, Pinnawala Elephant Orphanage"
"animal encounters, outdoor adventures, ayurvedic spa treatments","Pigeon Island, Kitulgala, Udawalawe National Park, Elephant Transit Home, Bentota"
"turtle watching, history tours, sightseeing","Galle Dutch Fort, Hikkaduwa, Sigiriya, Horton Plains, Rekawa Beach"
"turtle watching, hiking, waterfalls","Rekawa Beach, St Clairs Falls, Ravan Ella Waterfall, Bomburu Ella Waterfall, Hikkaduwa"
"bird watching, craft workshops, landscape photography","Kumana National Park, Sinharaja Forest Reserve, Anawilundawa Wetlands, Horton Plains, Bundala National Park"
"wildlife viewing, mountain biking, photography","Wilpattu National Park, Minneriya National Park, Yala National Park, Horton Plains National Park, Udawalawe National Park"
"arts and culture, yoga retreats, mountain biking","Nelung Arts Centre, Museum of Modern and Contemporary Art, National Gallery of Art, Hatton, Hiriketiya"
"paddleboarding, literary tours, fishing","Trincomalee, Martin Wickramasinghe Folk Museum, Kalpitiya, Negombo Lagoon, Jaffna Public Library"
"paddleboarding, hot air ballooning, golfing","Bentota River, Trincomalee, Victoria Golf Club, Dambulla, Negambo"
"spiritual retreats, yoga retreats, whale watching","Galle, Trincomalee, Ruhunu Maha Kataragama Dewalaya, Hikkaduwa, Sri Dalada Maligawa"
"camping, village homestays, history tours","Yala National Park, Knuckles, Ella, Sigiriya, Kitugala Forest"
"ayurvedic spa treatments, architecture photography, animal encounters","Kanneliya National Rain Forest Reserve, Velgam Vehera Buddhist Temple, Elephant Transit Home, Yala National Park, Pinnawala Elephant Orphanage"
"horse shows, snorkeling, cultural festivals","Unawatuna Beach, Nallur Kandaswamy Devasthanam, Kandy, Mirissa Beach, Pigeon Island"
"landscape photography, history tours, public art installations","Colombo, Ella Gap, Polonnaruwa Ancient City, Sigiriya, Horton Plains"
"sightseeing, whale watching, elephant rides","Ella, Udawalawe, Galle Lighthouse, Trincomalee, Pidurangala Rock"
"surfing, kayaking, safaris","Kalpitiya Lagoon, Ahungalla, Yala National Park, Kitulgala, Mirissa Beach"
"archaeological sites, sightseeing, historical monuments","Horton Plains, Sigiriya, Ella, Pidurangala Rock, Anuradhapura"
"historical monuments, cultural experiences, river cruises","Kandy Temple, Dambulla Royal Cave Temple and Golden Temple, Arankelle Forest Monastery, Sri Dalada Maligawa, Madu River"
"horseback riding, boat safaris, archaeological sites","Polonaruwa, Sigiriya, Dambulla, Nuwara Eliya, Bentota River"
"horse shows, spiritual retreats, camping","Horton Plains, Meemure, Sri Pada / Adams Peak, Kandy, Sri Dalada Maligawa"
"elephant rides, archaeological sites, boat safaris","Madu River, Udawalawe, Anuradhapura, Sigiriya, Polonaruwa"
"beachfront dining, fishing, snorkeling","Galle, Mirissa Beach, Hikkaduwa, Weligama Beach, Unawatuna Beach"
"camping, cycling, waterfalls","Bopath Falls, Bakers Falls, Horton Plains, Bambarakanda Falls, Bambarakiri Ella"
"mountain biking, animal encounters, tea tasting","Kanneliya National Rain Forest Reserve, Udawalawe National Park, Nuwara Eliya, Yala National Park, Knuckles"
"history tours, themed parks, temple pilgrimages","Mihintale, Sri Pada / Adams Peak, Jaya Sri Maha Bodhi, Jungle Beach, Polonnaruwa Ancient City"
"ayurvedic spa treatments, scuba diving, sea cruises","Trincomalee Harbour, Hikkaduwa, Mirissa Beach, Pigeon Island, Colombo Port City"
"amusement parks, beachfront dining, temple pilgrimages","Perl Bay, Jaya Sri Maha Bodhi, Mirissa Beach, Colombo Port City, Mihintale"
"beachfront dining, tea tasting, safaris","Wilpattu National Park, Yala National Park, Mirissa Beach, Minneriya National Park, Galle"
